breathe	breathes	breathing	breathed
blither	blithers	blitherring	blitherred
flirt	flirts	flirting	flirted
butterfly	butterflies	butterflying	butterflied
coquet	coquets	coquetting	coquetted
coquette	coquettes	coquetting	coquetted
philander	philanders	philandering	philandered
chat	chats	chatting	chatted
chitchat	chitchats	chitchatting	chitchatted
chit-chat	chit-chats	chit-chatting	chit-chatted
chaffer	chaffers	chaffering	chaffered
natter	natters	nattering	nattered
gossip	gossips	gossipping	gossipped
claver	clavers	clavering	clavered
shmooze	shmoozes	shmoozing	shmoozed
shmoose	shmooses	shmoosing	shmoosed
schmooze	schmoozes	schmoozing	schmoozed
schmoose	schmooses	schmoosing	schmoosed
jawbone	jawbones	jawboning	jawboned
wigwag	wigwags	wigwagging	wigwagged
semaphore	semaphores	semaphoring	semaphored
heliograph	heliographs	heliographing	heliographed
lip-synch	lip-synches	lip-synching	lip-synched
lip-sync	lip-syncs	lip-syncing	lip-synced
beckon	beckons	beckoning	beckoned
rumor	rumors	rumorring	rumorred
rumour	rumours	rumouring	rumoured
bruit	bruits	bruiting	bruited
rap	raps	rapping	rapped
hoot	hoots	hooting	hooted
pant-hoot	pant-hoots	pant-hooting	pant-hooted
grunt-hoot	grunt-hoots	grunt-hooting	grunt-hooted
grunt	grunts	grunting	grunted
whistle	whistles	whistling	whistled
wolf-whistle	wolf-whistles	wolf-whistling	wolf-whistled
susurrate	susurrates	susurrating	susurrated
mumble	mumbles	mumbling	mumbled
mussitate	mussitates	mussitating	mussitated
groan	groans	groaning	groaned
moan	moans	moaning	moaned
growl	growls	growling	growled
rumble	rumbles	rumbling	rumbled
vroom	vrooms	vrooming	vroomed
sough	soughs	soughing	soughed
purl	purls	purling	purled
ululate	ululates	ululating	ululated
yawl	yawls	yawling	yawled
yaup	yaups	yauping	yauped
waul	wauls	wauling	wauled
wawl	wawls	wawling	wawled
wrawl	wrawls	wrawling	wrawled
bay	bays	baying	bayed
yelp	yelps	yelping	yelped
yip	yips	yiping	yiped
yap	yaps	yapping	yapped
bleat	bleats	bleating	bleated
blate	blates	blating	blated
blat	blats	blatting	blatted
baa	baas	baaing	baaed
bellow	bellows	bellowing	bellowed
screak	screaks	screaking	screaked
skreak	skreaks	skreaking	skreaked
skreigh	skreighs	skreighing	skreighed
screech	screeches	screeching	screeched
chirk	chirks	chirking	chirked
croon	croons	crooning	crooned
chant	chants	chanting	chanted
intone	intones	intoning	intoned
intonate	intonates	intonating	intonated
cantillate	cantillates	cantillating	cantillated
singsong	singsongs	singsonging	singsonged
yodel	yodels	yodelling	yodelled
warble	warbles	warbling	warbled
trill	trills	trilling	trilled
quaver	quavers	quavering	quavered
waver	wavers	wavering	wavered
perorate	perorates	perorating	perorated
rant	rants	ranting	ranted
jabber	jabbers	jabbering	jabbered
spout	spouts	spouting	spouted
cheep	cheeps	cheeping	cheeped
chirp	chirps	chirping	chirped
chirrup	chirrups	chirruping	chirruped
churr	churrs	churring	churred
whirr	whirs	whirring	whirred
chirr	chirrs	chirring	chirred
meow	meows	meowing	meowed
mew	mews	mewing	mewed
purr	purrs	purring	purred
cronk	cronks	cronking	cronked
claxon	claxons	claxonning	claxonned
chitter	chitters	chittering	chittered
twitter	twitters	twittering	twittered
sis	siss	sissing	sissed
sizz	sizzs	sizzing	sizzed
sibilate	sibilates	sibilating	sibilated
hee-haw	hee-haws	hee-hawing	hee-hawed
oink	oinks	oinking	oinked
cluck	clucks	clucking	clucked
moo	moos	mooing	mooed
low	lows	lowing	lowed
flap	flaps	flapping	flapped
hum	hums	humming	hummed
cackel	cackels	cackelling	cackelled
gaggle	gaggles	gaggling	gaggled
bridle	bridles	bridling	bridled
jam	jams	jamming	jammed
mince	minces	mincing	minced
scranch	scranches	scranching	scranched
scraunch	scraunches	scraunching	scraunched
gobble	gobbles	gobbling	gobbled
notice	notices	noticing	noticed
wisecrack	wisecracks	wisecracking	wisecracked
kibitz	kibitzes	kibitzing	kibitzed
kibbitz	kibbitzs	kibbitzing	kibbitzed
neigh	neighs	neighing	neighed
nicker	nickers	nickering	nickered
whicker	whickers	whickering	whickered
whinny	whinnies	whinnying	whinnied
caw	caws	cawing	cawed
catcall	catcalls	catcalling	catcalled
haw	haws	hawing	hawed
hem	hems	hemming	hummed	hemmed
rubbish	rubbishes	rubbishing	rubbished
share	shares	sharing	shared
unspell	unspells	unspelling	unspelled
gulp	gulps	gulping	gulped
hurl	hurls	hurling	hurled
traverse	traverses	traversing	traversed
seek	seeks	seeking	sought
stet	stets	stetting	stetted
message	messages	messaging	messaged
pluralize	pluralizes	pluralizing	pluralized
pluralise	pluralises	pluralising	pluralised
compete	competes	competing	competed
vie	vies	vying	vied
snooker	snookers	snookering	snookered
misplay	misplays	misplaying	misplayed
fumble	fumbles	fumbling	fumbled
replay	replays	replaying	replayed
cricket	crickets	cricketting	cricketted
backstop	backstops	backstopping	backstopped
fullback	fullbacks	fullbacking	fullbacked
quarterback	quarterbacks	quarterbacking	quarterbacked
cradle	cradles	cradling	cradled
stalemate	stalemates	stalemating	stalemated
castle	castles	castling	castled
serve	serves	serving	served
ace	aces	acing	aced
ruff	ruffs	ruffing	ruffed
overtrump	overtrumps	overtrumping	overtrumped
crossruff	crossruffs	crossruffing	crossruffed
front	fronts	fronting	fronted
breast	breasts	breasting	breasted
meet	meets	meeting	met
encounter	encounters	encountering	encountered
fistfight	fistfights	fistfighting	fistfighted
participate	participates	participating	participated
quit	quits	quitting	quitted
demolish	demolishes	demolishing	demolished
destroy	destroys	destroying	destroyed
par	pars	parring	parred
umpire	umpires	umpiring	umpired
hinder	hinders	hindering	hindered
race	races	racing	raced
boat-race	boat-races	boat-racing	boat-raced
horse-race	horse-races	horse-racing	horse-raced
jockey	jockeys	jockeying	jockeyed
arm	arms	arming	armed
gird	girds	girding	girt
rearm	rearms	rearming	rearmed
re-arm	re-arms	re-arming	re-armed
forearm	forearms	forearming	forearmed
disarm	disarms	disarming	disarmed
demilitarize	demilitarizes	demilitarizing	demilitarized
demilitarise	demilitarises	demilitarising	demilitarised
unarm	unarms	unarming	unarmed
demobilize	demobilizes	demobilizing	demobilized
demobilise	demobilises	demobilising	demobilised
demob	demobs	demobbing	demobbed
man	mans	manning	manned
staff	staffs	staffing	staffed
station	stations	stationing	stationed
garrison	garrisons	garrisoning	garrisoned
team	teams	teaming	teamed
emb	embs	embing	embed
crew	crews	crewing	crewed
gang	gangs	ganging	ganged
aggroup	aggroups	aggrouping	aggrouped
pool	pools	pooling	pooled
brigade	brigades	brigading	brigaded
fight	fights	fighting	fought
struggle	struggles	struggling	struggled
tug	tugs	tugging	tugged
recalcitrate	recalcitrates	recalcitrating	recalcitrated
battle	battles	battling	battled
combat	combats	combating	combated
dogfight	dogfights	dogfighting	dogfighted
war	wars	warring	warred
blitzkrieg	blitzkriegs	blitzkrieging	blitzkrieged
campaign	campaigns	campaigning	campaigned
crusade	crusades	crusading	crusaded
barnstorm	barnstorms	barnstorming	barnstormed
whistlestop	whistlestops	whistlestoping	whistlestoped
sit	sits	sitting	sat
officiate	officiates	officiating	officiated
function	functions	functioning	functioned
caddie	caddies	caddieing	caddieed
caddy	caddies	caddying	caddied
soldier	soldiers	soldiering	soldiered
enlist	enlists	enlisting	enlisted
draft	drafts	banking	banked
recruit	recruits	recruiting	recruited
levy	levies	levying	levied
conscript	conscripts	conscripting	conscripted
remilitarize	remilitarizes	remilitarizing	remilitarized
remilitarise	remilitarises	remilitarising	remilitarised
win	wins	winning	won
romp	romps	romping	romped
sweep	sweeps	sweeping	swept
outpoint	outpoints	outpointing	outpointed
outscore	outscores	outscoring	outscored
homer	homers	homerring	homerred
vanquish	vanquishes	vanquishing	vanquished
worst	worsts	worsting	worsted
pip	pips	pipping	pipped
wallop	wallops	walloping	walloped
whomp	whomps	whomping	whomped
lurch	lurches	lurching	lurched
skunk	skunks	skunking	skunked
overcome	overcomes	overcoming	overcame
spreadeagle	spreadeagles	spreadeagling	spreadeagled
rout	routs	routing	routed
cheat	cheats	cheating	cheated
chouse	chouses	chousing	choused
shaft	shafts	shafting	shafted
screw	screws	screwing	screwed
outwit	outwits	outwitting	outwitted
overreach	overreaches	overreaching	overreached
outsmart	outsmarts	outsmarting	outsmarted
outfox	outfoxes	outfoxing	outfoxed
outshout	outshouts	outshouting	outshouted
outroar	outroars	outroaring	outroared
outsail	outsails	outsailing	outsailed
outdraw	outdraws	outdrawing	outdrawed
surpass	surpasses	surpassing	surpassed
outstrip	outstrips	outstripping	outstripped
outmatch	outmatches	outmatching	outmatched
outgo	outgoes	outgoing	outwent	outgone
exceed	exceeds	exceeding	exceeded
outdo	outdoes	outdoing	outdid	outdone
surmount	surmounts	surmounting	surmounted
outperform	outperforms	outperforming	outperformed
outsell	outsells	outselling	outsold
outpace	outpaces	outpacing	outpaced
upstage	upstages	upstaging	upstaged
outshine	outshines	outshining	outshone
outrange	outranges	outranging	outranged
outweigh	outweighs	outweighing	outweighed
outbrave	outbraves	outbraving	outbraved
out-herod	out-herods	out-heroding	out-heroded
shame	shames	shaming	shamed
defeat	defeats	defeating	defeated
bulldog	bulldogs	bulldogging	bulldogged
outflank	outflanks	outflanking	outflanked
best	bests	besting	bested
scoop	scoops	scooping	scooped
outfight	outfights	outfighting	outfought
nose	noses	nosing	nosed
outgeneral	outgenerals	outgeneralling	outgeneralled
manoeuver	manoeuvers	manoeuverring	manoeuverred
maneuver	maneuvers	maneuvering	maneuvered
manoeuvre	manoeuvres	manoeuvring	manoeuvred
outmaneuver	outmaneuvers	outmaneuverring	outmaneuverred
outmanoeuvre	outmanoeuvres	outmanoeuvring	outmanoeuvred
overpower	overpowers	overpowering	overpowered
overmaster	overmasters	overmastering	overmastered
outmarch	outmarches	outmarching	outmarched
steal	steals	stealing	stole	stolen
place-kick	place-kicks	place-kicking	place-kicked
eagle	eagles	eagling	eagled
walk	walks	walking	walked
checkmate	checkmates	checkmating	checkmated
mate	mates	mating	mated
sic	sics	sicking	sicked
surrender	surrenders	surrendering	surrendered
resist	resists	resisting	resisted
fend	fends	fending	fended
withstand	withstands	withstanding	withstood
nail	nails	nailing	nailed
capitulate	capitulates	capitulating	capitulated
aggress	aggresses	aggressing	aggressed
submarine	submarines	submarining	submarined
blindside	blindsides	blindsiding	blindsided
harass	harasses	harassing	harassed
reassail	reassails	reassailing	reassailed
pepper	peppers	peppering	peppered
pelt	pelts	pelting	pelted
pin	pins	pinning	pinned
duel	duels	duelling	duelled
rival	rivals	rivalling	rivalled
emulate	emulates	emulating	emulated
outrival	outrivals	outrivalling	outrivalled
outvie	outvies	outvying	outvied
joust	jousts	jousting	jousted
tilt	tilts	tilting	tilted
chicken-fight	chicken-fights	chicken-fighting	chicken-fighted
chickenfight	chickenfights	chickenfighting	chickenfighted
tourney	tourneys	tourneying	tourneyed
feud	feuds	feuding	feuded
skirmish	skirmishes	skirmishing	skirmished
slice	slices	slicing	sliced
chop	chops	chopping	chopped
counterattack	counterattacks'	counter-attacking	counterattacked	counter-attacked
counterstrike	counterstrikes	counterstriking	counterstriked
tearga	teargas	teargaing	teargaed
mine	mines	mining	mined
countermine	countermines	countermining	countermined
storm	storms	storming	stormed
blitz	blitzes	blitzing	blitzed
invade	invades	invading	invaded
beset	besets	besetting	beset
blockade	blockades	blockading	blockaded
barricade	barricades	barricading	barricaded
barricado	barricados	barricadoing	barricadoed
beleaguer	beleaguers	beleaguering	beleaguered
surround	surrounds	surrounding	surrounded
bulwark	bulwarks	bulwarking	bulwarked
protect	protects	protecting	protected
overprotect	overprotects	overprotecting	overprotected
guard	guards	guarding	guarded
ward	wards	warding	warded
shield	shields	shielding	shielded
wall	walls	walling	walled
palisade	palisades	palisading	palisaded
stockade	stockades	stockading	stockaded
circumvallate	circumvallates	circumvallating	circumvallated
repulse	repulses	repulsing	repulsed
arrest	arrests	arresting	arrested
contain	contains	containing	contained
bomb	bombs	bombing	bombed
dive-bomb	dive-bombs	dive-bombing	dive-bombed
glide-bomb	glide-bombs	glide-bombing	glide-bombed
skip-bomb	skip-bombs	skip-bombing	skip-bombed
atom-bomb	atom-bombs	atom-bombing	atom-bombed
hydrogen-bomb	hydrogen-bombs	hydrogen-bombing	hydrogen-bombed
pattern-bomb	pattern-bombs	pattern-bombing	pattern-bombed
firebomb	firebombs	firebombing	firebombed
cannon	cannons	cannoning	cannoned
misfire	misfires	misfiring	misfired
trigger	triggers	triggering	triggered
sharpshoot	sharpshoots	sharpshooting	sharpshooted
strafe	strafes	strafing	strafed
cannonade	cannonades	cannonading	cannonaded
gun	guns	gunning	gunned
kneecap	kneecaps	kneecapping	kneecapped
fusillade	fusillades	fusillading	fusilladed
defuse	defuses	defusing	defused
torpedo	torpedos	torpedoing	torpedoed
safeguard	safeguards	safeguarding	safeguarded
ambush	ambushes	ambushing	ambushed
bushwhack	bushwhacks	bushwhacking	bushwhacked
waylay	waylays	waylaying	waylaid
lurk	lurks	lurking	lurked
ambuscade	ambuscades	ambuscading	ambuscaded
gamble	gambles	gambling	gambled
dice	dices	dicing	diced
gage	gages	gaging	gaged
stake	stakes	staking	staked
game	games	gaming	gamed
punt	punts	punting	punted
ante	antes	anteing	anteed
underplay	underplays	underplaying	underplayed
parlay	parlays	parlaying	parlayed
bird	birds	birding	birded
birdwatch	birdwatches	birdwatching	birdwatched
seine	seines	seining	seined
harpoon	harpoons	harpooning	harpooned
fish	fishes	fishing	fished
brail	brails	brailing	brailed
fly-fish	fly-fishes	fly-fishing	fly-fished
flyfish	flyfishes	flyfishing	flyfished
whale	whales	whaling	whaled
shrimp	shrimps	shrimping	shrimped
still-hunt	still-hunts	still-hunting	still-hunted
turtle	turtles	turtling	turtled
rabbit	rabbits	rabbiting	rabbited
fowl	fowls	fowling	fowled
whelk	whelks	whelking	whelked
shark	sharks	sharking	sharked
trawl	trawls	trawling	trawled
hunt	hunts	hunting	hunted
course	courses	coursing	coursed
foxhunt	foxhunts	foxhunting	foxhunted
jacklight	jacklights	jacklighting	jacklighted
jack	jacks	jacking	jacked
still-fish	still-fishes	still-fishing	still-fished
falcon	falcons	falconning	falconned
strive	strives	striving	strove	striven
bowl	bowls	bowling	bowled
skittle	skittles	skittling	skittled
golf	golfs	golfing	golfed
deflect	deflects	deflecting	deflected
shuttlecock	shuttlecocks	shuttlecocking	shuttlecocked
double-team	double-teams	double-teaming	double-teamed
side	sides	siding	sided
champion	champions	championing	championed
deploy	deploys	deploying	deployed
tackle	tackles	tackling	tackled
weight-lift	weight-lifts	weight-lifting	weight-lifted
weightlift	weightlifts	weightlifting	weightlifted
target	targets	targeting	targeted
undershoot	undershoots	undershooting	undershooted
retaliate	retaliates	retaliating	retaliated
revenge	revenges	revenging	revenged
avenge	avenges	avenging	avenged
croquet	croquets	croqueting	croqueted
mothproof	moth-proofs	moth-proofing	mothproofed	moth-proofed
outplay	outplays	outplaying	outplayed
overtake	overtakes	overtaking	overtook	overtaken
fort	forts	forting	forted
deplete	depletes	depleting	depleted
squander	squanders	squandering	squandered
ware	wares	waring	wared
spare	spares	sparing	spared
use	uses	using	used
expend	expends	expending	expended
utilise	utilises	utilising	utilised
employ	employs	employing	employed
repose	reposes	reposing	reposed
ply	plies	plying	plied
misapply	misapplies	misapplying	misapplied
avail	avails	availing	availed
overuse	overuses	overusing	overused
overdrive	overdrives	overdriving	overdrove	overdriven
cannibalize	cannibalizes	cannibalizing	cannibalized
cannibalise	cannibalises	cannibalising	cannibalised
recycle	recycles	recycling	recycled
reproces	reprocess	reprocessing	reprocessed
reuse	reuses	reusing	reused
exploit	exploits	exploiting	exploited
quarry	quarries	quarrying	quarried
surface-mine	surface-mines	surface-mining	surface-mined
overexploit	overexploits	overexploiting	overexploited
addict	addicts	addicting	addicted
overstrain	overstrains	overstraining	overstrained
overextend	overextends	overextending	overextended
exert	exerts	exerting	exerted
task	tasks	tasking	tasked
victual	victuals	victualling	victualled
dine	dines	dining	dined
picnic	picnics	picnicking	picnicked
gluttonize	gluttonizes	gluttonizing	gluttonized
gluttonise	gluttonises	gluttonising	gluttonised
fres	fress	fressing	fressed
wolf	wolfs	wolfing	wolfed
slurp	slurps	slurping	slurped
swill	swills	swilling	swilled
suck	sucks	sucking	sucked
guggle	guggles	guggling	guggled
sip	sips	sipping	sipped
guzzle	guzzles	guzzling	guzzled
booze	boozes	boozing	boozed
claret	clarets	claretting	claretted
pub-crawl	pub-crawls	pub-crawling	pub-crawled
tipple	tipples	tippling	tippled
bib	bibs	bibbing	bibbed
tope	topes	toping	toped
partake	partakes	partaking	partook	partaken
fare	fares	faring	fared
nosh	noshes	noshing	noshed
snack	snacks	snacking	snacked
nibble	nibbles	nibbling	nibbled
browse	browses	browsing	browsed
graze	grazes	grazing	grazed
chomp	chomps	chomping	chomped
champ	champs	champing	champed
wassail	wassails	wassailing	wassailed
regale	regales	regaling	regaled
wine	wines	wining	wined
board	boards	boarding	boarded
forage	forages	foraging	foraged
raven	ravens	ravenning	ravenned
fodder	fodders	foddering	foddered
slop	slops	slopping	slopped
undernourish	undernourishes	undernourishing	undernourished
malnourish	malnourishes	malnourishing	malnourished
overfeed	overfeeds	overfeeding	overfed
force-fee	force-fees	force-feeing	force-feeed
plank	planks	planking	planked
cater	caters	catering	catered
pander	panders	pandering	pandered
pimp	pimps	pimping	pimped
procure	procures	procuring	procured
power	powers	powering	powered
feast	feasts	feasting	feasted
gratify	gratifies	gratifying	gratified
indulge	indulges	indulging	indulged
spree	sprees	spreeing	spreeed
underlay	underlays	underlaying	underlaid
satisfy	satisfies	satisfying	satisfied
fulfill	fulfils	fulfilling	fulfilled
fulfil	fulfils	fulfilling	fulfilled
horse	horses	horsing	horsed
remount	remounts	remounting	remounted
resee	resees	reseeing	reseeed
lunch	lunches	lunching	lunched
brunch	brunches	brunching	brunched
breakfast	breakfasts	breakfasting	breakfasted
banquet	banquets	banqueting	banqueted
junket	junkets	junketing	junketed
breastfeed	breastfeeds	breastfeeding	breastfed
suckle	suckles	suckling	suckled
wet-nurse	wet-nurses	wet-nursing	wet-nursed
lactate	lactates	lactating	lactated
dry-nurse	dry-nurses	dry-nursing	dry-nursed
wean	weans	weaning	weaned
ablactate	ablactates	ablactating	ablactated
bottlefeed	bottlefeeds	bottlefeeding	bottlefed
starve	starves	starving	starved
famish	famishes	famishing	famished
hunger	hungers	hungering	hungered
thirst	thirsts	thirsting	thirsted
lust	lusts	lusting	lusted
need	needs	needing	needed	needn't
diet	diets	dieting	dieted
fast	fasts	fasting	fasted
inebriate	inebriates	inebriating	inebriated
delight	delights	delighting	delighted
enjoy	enjoys	enjoying	enjoyed
revel	revels	revelling	revelled
wallow	wallows	wallowing	wallowed
surfeit	surfeits	surfeiting	surfeited
dunk	dunks	dunking	dunked
afford	affords	affording	afforded
gorge	gorges	gorging	gorged
ingurgitate	ingurgitates	ingurgitating	ingurgitated
overindulge	overindulges	overindulging	overindulged
glut	gluts	glutting	glutted
englut	engluts	englutting	englutted
engorge	engorges	engorging	engorged
overgorge	overgorges	overgorging	overgorged
overeat	overeats	overeating	overate	overeaten
gormandize	gormandizes	gormandizing	gormandized
gormandise	gormandises	gormandising	gormandised
gourmandize	gourmandizes	gourmandizing	gourmandized
binge	binges	binging	binged
satiate	satiates	satiating	satiated
sate	sates	sating	sated
replete	repletes	repleting	repleted
cloy	cloys	cloying	cloyed
content	contents	contenting	contented
host	hosts	hosting	hosted
fatten	fattens	fattening	fattened
fat	fats	fatting	fatted
sample	samples	sampling	sampled
degust	degusts	degusting	degusted
fritter	fritters	frittering	frittered
dissipate	dissipates	dissipating	dissipated
abstain	abstains	abstaining	abstained
refrain	refrains	refraining	refrained
desist	desists	desisting	desisted
teetotal	teetotals	teetotalling	teetotalled
devour	devours	devouring	devoured
guttle	guttles	guttling	guttled
smack	smacks	smacking	smacked
metabolize	metabolizes	metabolizing	metabolized
metabolise	metabolises	metabolising	metabolised
predigest	predigests	predigesting	predigested
smoke	smokes	smoking	smoked
chain-smoke	chain-smokes	chain-smoking	chain-smoked
mainline	mainlines	mainlining	mainlined
free-base	free-bases	free-basing	free-based
trip	trips	tripping	tripped
chew	chews	chewing	chewed
masticate	masticates	masticating	masticated
manducate	manducates	manducating	manducated
chaw	chaws	chawing	chawed
munch	munches	munching	munched
quaff	quaffs	quaffing	quaffed
swig	swigs	swigging	swigged
nourish	nourishes	nourishing	nourished
prey	preys	preying	preyed
allay	allays	allaying	allayed
nutrify	nutrifies	nutrifying	nutrified
aliment	aliments	alimenting	alimented
gutter	gutters	guttering	guttered
sup	sups	supping	supped
toe	toes	toeing	toed
trap	traps	trapping	trapped
violate	violates	violating	violated
strew	strews	strewing	strewed	strewn
thumb	thumbs	thumbing	thumbed
palpate	palpates	palpating	palpated
palm	palms	palming	palmed
paw	paws	pawing	pawed
grope	gropes	groping	groped
dandle	dandles	dandling	dandled
mouse	mouses	mousing	moused
guide	guides	guiding	guided
prehend	prehends	prehending	prehended
snatch	snatches	snatching	snatched
nab	nabs	nabbing	nabbed
wrest	wrests	wresting	wrested
collar	collars	collaring	collared
cop	cops	copping	copped
capture	captures	capturing	captured
cling	clings	clinging	clung
clasp	clasps	clasping	clasped
scaffold	scaffolds	scaffolding	scaffolded
pleat	pleats	pleating	pleated
plicate	plicates	plicating	plicated
chock	chocks	chocking	chocked
underpin	underpins	underpinning	underpinned
prop	props	propping	propped
shore	shores	shoring	shored
truss	trusses	trussing	trussed
tread	treads	treading	trod	trodden
slat	slats	slatting	slatted
stopper	stoppers	stoppering	stoppered
stopple	stopples	stoppling	stoppled
cleave	cleaves	cleaving	clove	cloven
cohere	coheres	cohering	cohered
conglutinate	conglutinates	conglutinating	conglutinated
agglutinate	agglutinates	agglutinating	agglutinated
haemagglutinate	haemagglutinates	haemagglutinating	haemagglutinated
hemagglutinate	hemagglutinates	hemagglutinating	hemagglutinated
unclasp	unclasps	unclasping	unclasped
quirk	quirks	quirking	quirked
twine	twines	twining	twined
untwist	untwists	untwisting	untwisted
crimp	crimps	crimping	crimped
crape	crapes	craping	craped
frizz	frizzes	frizzing	frizzed
grip	grips	gripping	gript
twiddle	twiddles	twiddling	twiddled
wield	wields	wielding	wielded
manage	manages	managing	managed
treadle	treadles	treadling	treadled
goose	gooses	goosing	goosed
caress	caresses	caressing	caressed
fondle	fondles	fondling	fondled
pet	pets	petting	petted
canoodle	canoodles	canoodling	canoodled
interpenetrate	interpenetrates	interpenetrating	interpenetrated
permeate	permeates	permeating	permeated
perforate	perforates	perforating	perforated
foray	forays	foraying	forayed
pervade	pervades	pervading	pervaded
spiritize	spiritizes	spiritizing	spiritized
spiritise	spiritises	spiritising	spiritised
jab	jabs	jabbing	jabbed
prod	prods	prodding	prodded
stab	stabs	stabbing	stabbed
poke	pokes	poking	poked
knife	knifes	knifing	knifed
poniard	poniards	poniarding	poniarded
bayonet	bayonets	bayoneting	bayoneted
maul	mauls	mauling	mauled
laminate	laminates	laminating	laminated
lapidate	lapidates	lapidating	lapidated
knead	kneads	kneading	kneaded
dab	dabs	dabbing	dabbed
pat	pats	patting	patted
swab	swabs	swabbing	swabbed
swob	swobs	swobbing	swobbed
daub	daubs	daubing	daubed
blood	bloods	blooding	blooded
thatch	thatchs	thatching	thatched
roof	roofs	roofing	roofed
shingle	shingles	shingling	shingled
mulch	mulches	mulching	mulched
turf	turfs	turfing	turfed
carpet	carpets	carpeting	carpeted
butt	butts	butting	butted
bunt	bunts	bunting	bunted
headbutt	headbutts	headbutting	headbutted
spang	spangs	spanging	spanged
bang	bangs	banging	banged
rear-end	rear-ends	rear-ending	rear-ended
broadside	broadsides	broadsiding	broadsided
thud	thuds	thudding	thudded
shoulder	shoulders	shouldering	shouldered
elbow	elbows	elbowing	elbowed
bump	bumps	bumping	bumped
rake	rakes	raking	raked
prick	pricks	pricking	pricked
spur	spurs	spurring	spurred
rocket	rockets	rocketing	rocketed
slam	slams	slamming	slammed
shutter	shutters	shuttering	shuttered
beak	beaks	beaking	beaked
dust	dusts	dusting	dusted
dredge	dredges	dredging	dredged
vacuum	vacuums	vacuuming	vacuumed
vacuum-clean	vacuum-cleans	vacuum-cleaning	vacuum-cleaned
hoover	hoovers	hooverring	hooverred
hygienize	hygienizes	hygienizing	hygienized
hygienise	hygienises	hygienising	hygienised
bream	breams	breaming	breamed
simonize	simonizes	simonizing	simonized
simonise	simonises	simonising	simonised
smooth	smooths	smoothing	smoothed
shine	shines	shining	shone
sleek	sleeks	sleeking	sleeked
buff	buffs	buffing	buffed
burnish	burnishes	burnishing	burnished
furbish	furbishes	furbishing	furbished
edge	edges	edging	edged
strop	strops	stropping	stropped
whet	whets	whetting	whetted
cock	cocks	cocking	cocked
percuss	percusses	percussing	percussed
postpose	postposes	postposing	postposed
prepose	preposes	preposing	preposed
scissor	scissors	scissoring	scissored
skive	skives	skiving	skived
fillet	fillets	filleting	filleted
filet	filets	filetting	filetted
plane	planes	planing	planed
rub	rubs	rubbing	rubbed
pumice	pumices	pumicing	pumiced
puree	purees	pureeing	pureeed
rosin	rosins	rosining	rosined
fray	frays	fraying	frayed
scratch	scratches	scratching	scratched
worry	worries	worrying	worried
holystone	holystones	holystoning	holystoned
abrade	abrades	abrading	abraded
bedaub	bedaubs	bedaubing	bedaubed
besmear	besmears	besmearing	besmeared
smudge	smudges	smudging	smudged
smutch	smutches	smutching	smutched
resmudge	resmudges	resmudging	resmudged
slime	slimes	sliming	slimed
roughen	roughens	roughening	roughened
corrade	corrades	corrading	corraded
abrase	abrases	abrasing	abrased
amputate	amputates	amputating	amputated
resect	resects	resecting	resected
abscise	abscises	abscising	abscised
pink	pinks	pinking	pinked
jag	jags	jagging	jagged
serrate	serrates	serrating	serrated
carve	carves	carving	carved	carven
swage	swages	swaging	swaged
julienne	juliennes	julienning	julienned
hash	hashes	hashing	hashed
undercut	undercuts	undercutting	undercut
fall	falls	falling	fell	fallen
poleax	poleaxes	poleaxing	poleaxed
poleaxe	poleaxes	poleaxeing	poleaxeed
lumber	lumbers	lumbering	lumbered
chip	chips	chipping	chipped
snick	snicks	snicking	snicked
chisel	chisels	chiselling	chiselled
knap	knaps	knapping	knapped
flake	flakes	flaking	flaked
hew	hews	hewing	hewed	hewn
snag	snags	snagging	snagged
rough-hew	rough-hews	rough-hewing	rough-hewed
roughcast	roughcasts	roughcasting	roughcast
stucco	stuccos	stuccoing	stuccoed
egg	eggs	egging	egged
layer	layers	layering	layered
cake	cakes	caking	caked
soot	soots	sooting	sooted
skin	skins	skinning	skinned
descale	descales	descaling	descaled
refinish	refinishes	refinishing	refinished
patinate	patinates	patinating	patinated
patinize	patinizes	patinizing	patinized
patinise	patinises	patinising	patinised
copper	coppers	coppering	coppered
broom	brooms	brooming	broomed
bonderize	bonderizes	bonderizing	bonderized
bonderise	bonderises	bonderising	bonderised
blacktop	blacktops	blacktopping	blacktopped
pave	paves	paving	paved
cobblestone	cobblestones	cobblestoning	cobblestoned
causeway	causeways	causewaying	causewayed
asphalt	asphalts	asphalting	asphalted
butter	butters	buttering	buttered
wallpaper	wallpapers	wallpapering	wallpapered
paper	papers	papering	papered
beeswax	beeswaxes	beeswaxing	beeswaxed
varnish	varnishes	varnishing	varnished
veneer	veneers	veneering	veneered
grease	greases	greasing	greased
calcimine	calcimines	calcimining	calcimined
water-wash	water-washes	water-washing	water-washed
elute	elutes	eluting	eluted
shellac	shellacs	shellacking	shellacked
shellack	shellacks	shellacking	shellacked
revet	revets	revetting	revetted
reface	refaces	refacing	refaced
crib	cribs	cribbing	cribbed
babbitt	babbitts	babbitting	babbitted
tar	tars	tarring	tarred
tar-and-feather	tar-and-feathers	tar-and-featherring	tar-and-featherred
stripe	stripes	striping	striped
speck	specks	specking	specked
bespot	bespots	bespotting	bespotted
handstamp	handstamps	handstamping	handstamped
postmark	postmarks	postmarking	postmarked
